"Source:","D:\V_meter_2\stend_e3\stend_main4_dummy\stend_main.kicad_sch"
"Date:","10/23/2021 11:44:15 AM"
"Tool:","Eeschema (5.99.0-12829-gf2783a86e0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","356"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","PIN1","PIN10","PIN2","PIN3","PIN4","PIN5","PIN6","PIN7","PIN8","PIN9","ValueAnalog","ValueC","ValueGOST","ValueGroup","ValueManufacturer","ValueName","ValueNote","ValueSupplier","ValueTU","ValueTemp_1","ValueTemp_2","ValueTemp_3","ValueTemp_4","ValueTemp_5","ValueTemperature","volume"
"","","CP6","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP7","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP8","CP_R","my_Library:CP_R","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP9","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP10","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP11","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP12","CP_R","my_Library:CP_R","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP13","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP14","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP15","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP16","CP_R","my_Library:CP_R","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP17","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP18","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP19","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP20","CP_R","my_Library:CP_R","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP21","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP22","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP23","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP24","CP_R","my_Library:CP_R","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP25","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP26","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP27","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP28","CP_R","my_Library:CP_R","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP29","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP30","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP31","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP32","CP_R","my_Library:CP_R","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP33","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP34","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP35","CP_L","my_Library:CP_L","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
"","","CP36","CP_R","my_Library:CP_R","my_Library_ftprint:PinHeader_1x01_P2.54mm_Vertical","","","","","","","","","","","","PLD-10 DS-1021","","розетка СНП346-5PП21-1","Соединители","ф. АО «Электродеталь»","ВИЛКА НА ПЛАТУ 2.5 ММ ШАГ","-","ф. АО «Электродеталь»","РЮМК.430420.011ТУ","РЮМК.430420.011ТУ","-","-","-","-","от минус 60 ⁰C до + 85 ⁰C",""
